name,generics,brand_names,company_url
Radius Pharmaceuticals Ltd.,12,12,https://medex.com.bd/companies/342/radius-pharmaceuticals-ltd/brands
Rangs Pharmaceuticals Ltd.,74,134,https://medex.com.bd/companies/147/rangs-pharmaceuticals-ltd/brands
Reckitt & Benckiser Ltd.,4,6,https://medex.com.bd/companies/161/reckitt-benckiser-ltd/brands
Reliance Pharmaceuticals Ltd.,33,43,https://medex.com.bd/companies/130/reliance-pharmaceuticals-ltd/brands
Reman Drug Laboratories Ltd.,68,88,https://medex.com.bd/companies/63/reman-drug-laboratories-ltd/brands
Renata Limited,315,600,https://medex.com.bd/companies/64/renata-limited/brands
Rephco Pharmaceuticals Ltd.,94,143,https://medex.com.bd/companies/66/rephco-pharmaceuticals-ltd/brands
River Pharma,2,2,https://medex.com.bd/companies/338/river-pharma/brands
RN Pharmaceuticals,8,8,https://medex.com.bd/companies/259/rn-pharmaceuticals/brands
Roche Bangladesh Ltd.,17,28,https://medex.com.bd/companies/67/roche-bangladesh-ltd/brands
Royal Pharmaceutical Ltd.,8,8,https://medex.com.bd/companies/335/royal-pharmaceutical-ltd/brands
S.N. Pharmaceutical Ltd.,17,19,https://medex.com.bd/companies/135/sn-pharmaceutical-ltd/brands
Salton Pharmaceuticals Ltd.,23,30,https://medex.com.bd/companies/68/salton-pharmaceuticals-ltd/brands
SANDOZ (A Novartis Division),64,101,https://medex.com.bd/companies/168/sandoz-a-novartis-division/brands
Seema Pharmaceuticals Ltd.,47,66,https://medex.com.bd/companies/69/seema-pharmaceuticals-ltd/brands
Servier Bangladesh Operation,8,12,https://medex.com.bd/companies/172/servier-bangladesh-operation/brands
Sharif Pharmaceuticals Ltd.,93,147,https://medex.com.bd/companies/90/sharif-pharmaceuticals-ltd/brands
SHINIL Pharma Limited,0,0,https://medex.com.bd/companies/466/shinil-pharma-limited/brands
Shuvro Limited,0,0,https://medex.com.bd/companies/430/shuvro-limited/brands
Silco Pharmaceutical Ltd.,67,101,https://medex.com.bd/companies/159/silco-pharmaceutical-ltd/brands
Silva Pharmaceuticals Ltd.,79,127,https://medex.com.bd/companies/94/silva-pharmaceuticals-ltd/brands
Skylab Pharmaceuticals Ltd.,13,19,https://medex.com.bd/companies/70/skylab-pharmaceuticals-ltd/brands
Social Marketing Company,31,39,https://medex.com.bd/companies/216/social-marketing-company/brands
Somatec Pharmaceuticals Ltd.,79,139,https://medex.com.bd/companies/125/somatec-pharmaceuticals-ltd/brands
Sonear Laboratories Ltd.,21,29,https://medex.com.bd/companies/72/sonear-laboratories-ltd/brands
Square Pharmaceuticals PLC,579,961,https://medex.com.bd/companies/73/square-pharmaceuticals-plc/brands
Square Toiletries Limited,3,3,https://medex.com.bd/companies/410/square-toiletries-limited/brands
Sun Pharmaceutical (Bangladesh) Ltd.,69,142,https://medex.com.bd/companies/139/sun-pharmaceutical-bangladesh-ltd/brands
Sunman-Birdem Pharma Ltd.,41,65,https://medex.com.bd/companies/256/sunman-birdem-pharma-ltd/brands
Supreme Pharmaceutical Ltd.,55,77,https://medex.com.bd/companies/138/supreme-pharmaceutical-ltd/brands
Synovia Pharma PLC.,106,229,https://medex.com.bd/companies/89/synovia-pharma-plc/brands
Syntho Laboratories Ltd.,14,17,https://medex.com.bd/companies/134/syntho-laboratories-ltd/brands
Team Pharmaceuticals Ltd.,84,134,https://medex.com.bd/companies/255/team-pharmaceuticals-ltd/brands
Techno Drugs Ltd.,118,191,https://medex.com.bd/companies/95/techno-drugs-ltd/brands
The White Horse Pharmaceuticals Ltd.,92,130,https://medex.com.bd/companies/96/the-white-horse-pharmaceuticals-ltd/brands
Total Herbal & Nutraceuticals,25,31,https://medex.com.bd/companies/347/total-herbal-nutraceuticals/brands
Total Natural Company (Unani),9,11,https://medex.com.bd/companies/316/total-natural-company-unani/brands
